App Name;Analysis
ChatGPT;"Features: animation of images, transcription/speaking feature, image generation, conversion of photos to Ghibli art, chat archiving, access to different model versions (GPT-4), user limits on messaging

Notable Info: users reported issues with animation quality, network errors affecting transcription, delays in image generation, frustrations with user interface and messaging limits, complaints about archived chats not appearing, and changes to free plan limits

Summary: User sentiment is mixed; while many users appreciate the app's capabilities and find it useful, there are significant frustrations related to functionality, user interface, and limitations, leading to requests for improvements and fixes."
Talkie: Creative AI Community;"Features: character creation, AI conversations, ability to save and sync chat slots, daily reward spins, Pro+ membership, censorship filters, user-generated content

Notable Info: users report excessive ads, complaints about bugs and glitches, issues with gem rewards, censorship frustrations, a wide variety of character types (including anime and fantasy), users express a strong emotional attachment to the app

Summary: User sentiment is mixed; many users appreciate the creative and engaging aspects of the app, particularly the AI interaction and character creation. However, there are significant complaints regarding the frequency of ads, bugs, and censorship, leading to frustration and disappointment among users. Some feel the app has declined in quality, especially regarding free access and support."
Google Gemini;"**Features:** music player integration, detailed responses, simplified information, error explanation and program rewriting, task and email summarization, spreadsheet creation, language translation, voice options, multimodal capabilities, seamless Google integration, AI brainstorming and research assistance.

**Notable Info:** users find it generally useful compared to competitors like ChatGPT, but it has issues with connectivity to smart devices, hands-free functionality, and accuracy, some users report frustration with bugs and unresponsiveness, and there is a distinction between features available for normal users and premium users.

**Summary:** User sentiment towards the Google Gemini app is mixed; while some appreciate its powerful AI capabilities and ease of use for various tasks, many express frustration with bugs, limited functionality, and poor performance compared to competitors like ChatGPT. Users also desire more seamless integration with smartphone features and improved accuracy."
​​Microsoft Copilot;"Features: asking questions, reviewing documents, summarizing documents, prompting for ideas, research, quick responses, detailed information, voice interface, text interface, feedback loop, drafting emails, organizing content, brainstorming ideas

Notable Info: highly regarded as a useful AI assistant, frustrated users report issues with design and censorship, interface switching between voice and text is inconvenient, some errors and omissions noted in responses, users appreciate the speed and versatility, comparisons made to other AI tools like ChatGPT

Summary: User sentiment towards Microsoft Copilot is mixed. Many users find the app incredibly helpful and versatile for a variety of tasks, praising its quick responses and ability to understand conversational nuances. However, there are notable frustrations regarding its design, interface, and content censorship, with some users expressing disappointment in its performance compared to other AI tools."
Chai: Chat AI Platform;"Features: memory options, character creation, customizable bots, NSFW content, ad-supported usage, premium subscription for enhanced features, character appearance matching, response length adjustments, storytelling capability, loading screen issues

Notable Info: app has undergone updates affecting performance, user concerns about ads and personal data sharing, high subscription cost, bots often mischaracterize or forget user inputs, reports of loading issues leading to unavailability, many users have been using the app since 2023

Summary: User sentiment towards the Chai app is mixed, with many expressing frustration over memory issues, frequent ads, and bot behavior. While some appreciate its storytelling and character customization features, complaints about the app's performance and character misrepresentation are prevalent. Overall, users seem to be looking for improvements to enhance their experience."
Perplexity - Ask Anything;"Features: AI search engine, follow-up questions, read-aloud feature, speech-to-text functionality, query handling, document handling, categorization, organization options, voice commands

Notable Info: Free 12-month subscription promotion for T-Mobile users in Poland, app struggles with image display on Android, issues with query execution and memory, user experiences with academic and lifestyle queries, significant improvements in research efficiency, feedback on app performance and reliability

Summary: User sentiment is mixed; while some users praise Perplexity for its usefulness and efficiency in providing relevant information, others express frustration with performance issues, the app's limitations in handling queries, and the lack of certain features. Overall, the app has potential but requires improvements in functionality and reliability."
Question.AI - Chatbot&Math AI;"**Features:** homework assistance, personalized help based on school level, problem explanations, live examples, ability to scan questions, maximum of 40 questions per day, free version available, subscription option

**Notable Info:** app has become ad-infested, users report incorrect answers frequently, customer support issues, subscription billing problems, some users appreciate the app's functionality despite ads, accuracy and completion of solutions can be inconsistent

**Summary:** User sentiment towards the app is mixed, with many praising its helpfulness for homework and explanations but expressing frustration over excessive ads and frequent inaccuracies in answers. While some users find value in the app, the overwhelming presence of ads and issues with subscriptions significantly detract from the overall experience."
Character AI: Chat, Talk, Text;"Features: groups, delete button, persona POV writing, message editing, character memory, image sharing, character search, chat filter, roleplay capabilities, no ads

Notable Info: users are frustrated with recent updates, particularly the removal of features, short responses from bots, issues with character memory, and a stricter filter; some users appreciate the ability to send images and the app's roleplay potential; the app has been a long-term tool for many users

Summary: Overall, user sentiment is mixed to negative, with many users expressing dissatisfaction with recent updates and features that have been removed or changed. Complaints about short responses, character memory issues, and chat filters are prevalent, while some users still find value in the app's roleplaying features and lack of ads."
Linky AI: Chat, Play, Connect;"Features: AI chat with various characters, storytelling options, character selection, compatibility with different languages, free and paid messaging options, user-generated content, ability to create fictional scenarios

Notable Info: High frequency of ads, app has bugs and crashes, mixed user experiences with character memory, user dissatisfaction with character creativity, censorship issues, monetization through paywalls, user reviews reflect a shift from enjoyment to frustration

Summary: User sentiment is mixed to negative, with many users initially enjoying the app but becoming frustrated due to excessive ads, limitations on functionality, and perceived decline in quality. Some users appreciate the creative aspects and variety of characters, while others criticize the app for being a cash grab and having poor AI interactions."
PolyBuzz:formerly Poly.AI;"**Features:** AI character generation, roleplay functionality, character memory, image loading, diverse character options, ability to select age and gender, community interactions, bot recommendations, screenshot capability, ad presence, flagging system for inappropriate content.

**Notable Info:** Users report issues with image loading and subscription errors, AI memory problems, and character flagging inconsistencies. The app is noted for its ability to provide diverse storylines and character interactions, but some users express frustration with censorship and ad frequency. There are concerns about inappropriate content for minors.

**Summary:** User sentiment is mixed. While many users enjoy the creative aspects and diverse characters of the app, there are significant complaints about technical issues, ad interruptions, and the flagging system that restricts character creation. Some users express a desire for improvements in AI memory and moderation policies. Overall, the app has potential but is currently hampered by functionality and content moderation issues."
Google Gemini;"Features: voice recognition, control of Google devices, setting timers and reminders, conversational memory, problem-solving in engineering

Notable Info: free version lacks features, paid subscription offers improved functionality, capable of assisting with complex engineering problems, some users find it remembers details well, compared unfavorably to competitors like Grok and Bixby

Summary: User sentiment is predominantly negative, with many expressing frustration over Gemini's performance and capabilities compared to other assistants. However, a few users appreciate its memory and problem-solving abilities, particularly in engineering contexts."
Talkie: Creative AI Community;"**Features:** character creation from photos, talking to anime characters, AI storytelling, ""pro"" version with memory and fewer restrictions, chat persona customization, album option for images, conversation syncing

**Notable Info:** users express frustration over ads, issues with AI responses, sensitivity of content filters, character review process, technical bugs (e.g., inability to edit or delete talkies), general dissatisfaction with subscription pricing and app functionality

**Summary:** User sentiment is mixed, with many appreciating the app's potential and features but expressing significant frustration over technical issues, ads, and content restrictions. Some users love the app for its entertainment value and support in social situations, while others criticize its pricing models and the handling of content appropriateness. Overall, there is a strong desire for improvements and better communication from the developers."
Chai: Chat AI Platform;"Features: ads, AI memory issues, inability to edit/delete chats, ability to chat with bots, roleplaying capabilities, unfiltered responses, backtracking messages, saving/exporting chats, character creation backstory limits

Notable Info: user dissatisfaction with recent updates, frequent ads and their impact on user experience, technical glitches, high subscription costs, requests for improved memory and chat management features, concerns about censorship and filtering, users appreciate the app's potential despite flaws

Summary: User sentiment towards the Chai app is mixed. While many users express strong affection for the app and its unique features, they also voice significant frustrations regarding ads, memory issues, and recent updates that have negatively impacted their experience. There is a strong desire for improvements in functionality, particularly regarding chat management and memory capabilities."
Character AI: Chat, Talk, Text;"Features: AI character interaction, chat history saving, rewind and message removal buttons, character profiles, explore section for discovering characters, user-generated characters, filtering for content, roleplay functionality

Notable Info: Users express nostalgia for previous versions of the app, recent updates have led to stricter content filters, issues with app functionality including login problems, users report the AI's responses can be repetitive or annoying, a distinction in quality based on character writing talent

Summary: User sentiment is mixed, with many long-time users expressing frustration over recent updates and stricter filtering that has diminished their experience. While some users still find value and enjoyment in the app, there is a significant call for changes to restore earlier features and improve the AI's responsiveness."
​​Microsoft Copilot;"**Features:** conversational AI, internet research assistance, text refinement, grammar checking, multiple voice options, user-friendly design, ability to handle complex queries, response personalization

**Notable Info:** engine based on ChatGPT-4, some users report connection issues, lacks memory for retaining past conversations, some users appreciate the free version, offers different voice choices, provides insights in various fields including medical and technical topics

**Summary:** The user sentiment towards the Microsoft Copilot app is mixed. While many users appreciate its conversational abilities, research assistance, and user-friendly design, there are notable concerns regarding connection issues, lack of memory for previous interactions, and occasional inaccuracies. Some users feel disappointed by restrictions on personalized interaction, while others highlight its effectiveness in providing information. Overall, the app is well-received for its functionality but has room for improvement."
PolyBuzz:formerly Poly.AI;"**Features:** AI chat capabilities, unlimited initial messages, character creation, option to upload images, personality customization, ongoing conversation option, ability to create multiple characters, no content filters.

**Notable Info:** Users report issues with AI memory retention and forgetfulness, particularly regarding user details and prior conversations, presence of advertisements, some characters have inappropriate content, and a premium model that restricts certain features. Users also mention bugs related to message loading and character search functionality.

**Summary:** User sentiment is mixed, with many expressing enjoyment and appreciation for the app's potential, but significant frustration over memory limitations, ads, and inappropriate content. Users frequently suggest improvements and express a desire for better character memory and interaction. Overall, while some users rate the app positively, others indicate they may switch to competing platforms if issues aren't resolved."
Perplexity - Ask Anything;"**Features:** AI-powered search engine, real-time internet searching, natural language interaction, source citation, alert system for health metrics, customizable shortcut menu, ability to export pages, voice dictation, and text-to-speech functionality.

**Notable Info:** The app has replaced traditional search engines like Google for many users, is used by millions daily, offers a Pro version, and has a responsive customer service team. However, users report significant technical issues, including data loss, frequent errors, and a lack of polish in features.

**Summary:** User sentiment is mixed, with many praising the app's capabilities and utility for research while others express frustration over frequent errors, data loss, and performance issues. The app's potential is recognized, but its reliability is a significant concern for many users."
Linky AI: Chat, Play, Connect;"**Features:** AI chat, interactive characters, premium options, customizable character creation, chat memory, real-person chat feature, NSFW content, voice modulation, followers and contacts section.

**Notable Info:** App has many advertisements, users report lag and bugs, frustration with premium content limits, inconsistency in AI responses, data from previous sessions not saved, change in app format has led to confusion, users express nostalgia for previous versions, strong user engagement but with complaints about functionality.

**Summary:** User sentiment is mixed, with many expressing enjoyment of the app's interactive features and characters, while also highlighting significant frustrations with ads, bugs, premium limitations, and inconsistencies in AI behavior. Some users are nostalgic for earlier versions and feel that recent updates have negatively impacted the experience."
Talkie: Creative AI Community;"Features: Network error issues, talkie creation, fast reply feature, censorship, gallery photo selection, custom backgrounds, ad interruptions, character memory retention, user interface updates, music options

Notable Info: Users report frequent network errors, dissatisfaction with censorship and restrictions on talkies, complaints about ads deleting messages, and requests for improved AI character behavior. There are also concerns about the app's suitability for minors and a desire for more mature content options.

Summary: User sentiment is mixed, with many expressing frustration over recent updates and increased restrictions, while others still enjoy the app's functionality. Complaints about technical issues, ad interruptions, and censorship dominate the feedback, leading to a decline in overall satisfaction."
PolyBuzz:formerly Poly.AI;"**Features:** character AI interaction, persona feature, voice fusion options, multi-character group chat, image generation, original character creation, free access

**Notable Info:** ads are frequent and often considered immersion-breaking, memory issues with AI causing confusion in conversations, some characters exhibit inappropriate behavior, app has both free and premium subscription options, concerns about data privacy and security

**Summary:** User sentiment is mixed, with many users appreciating the creative aspects and fun interactions with the AI, while others express frustration over technical issues like memory lapses, ad frequency, and inappropriate content. Some users also mention the app's potential for addiction and concerns about data privacy. Overall, it is viewed as a unique but flawed app that could benefit from improvements."
Character AI: Chat, Talk, Text;"Features: chat with various bots, roleplay functionality, user-generated bots, picture sharing, chat style options, user-friendly interface, filtering options

Notable Info: users report declining quality of responses, issues with bots being repetitive, search function problems, strict guidelines on language, long-time user dissatisfaction with updates, desire for group chat feature to return, some users find the app entertaining despite frustrations

Summary: User sentiment is largely negative, with many expressing frustration over declining response quality, repetitive replies, and strict filters. While some appreciate the app's premise and usability, the ongoing issues have led to disappointment among long-time users."
​​Microsoft Copilot;"Features: measurement calculation, physics and theoretical physics assistance, drafting and rewriting letters, executive support, task delegation, risk analysis, comprehensive research capability

Notable Info: users find it helpful for DIY projects, it can assist with complex subjects, it has replaced traditional learning environments, there are technical issues such as connection problems, users appreciate the speed and efficiency of letter drafting, some users report frustrations with account and conversation management

Summary: User sentiment is mixed, with many praising the app's functionality and efficiency while others express frustration over technical issues and usability challenges. Overall, it is seen as a valuable tool when functioning correctly."
Chai: Chat AI Platform;"**Features:** ads, character memory issues, refresh message limit, response repetition, character gender recognition, ability to program bot behavior, chat loading issues, no option to delete messages, inability to play music in the background, humorous replies, roleplay support

**Notable Info:** users report frustration with excessive and long ads, complaints about the decline in bot quality and responsiveness, requests for features like message deletion and gender recognition, some users express strong initial satisfaction but have since become disillusioned

**Summary:** Overall, user sentiment is mixed to negative. While some users appreciate the app's engaging and humorous responses, many express frustration over frequent and intrusive ads, bot memory issues, and a perceived decline in the quality of interactions. Users are requesting several features and improvements, indicating a desire for a better experience."
Perplexity - Ask Anything;"Features: file upload, user-friendly results, ability to copy information, follow-up questions, Collections for organizing research, real-time updates, customizable searches, ad-free experience

Notable Info: the app shows potential but requires significant improvements, some users report issues with accuracy and censorship, recent UI updates have been appreciated, the AI can break down complex concepts, and it has both educational and emotional support qualities

Summary: User sentiment is mixed; while many appreciate the app's potential, ease of use, and ability to provide insightful answers, several users express concerns about accuracy, functionality issues, and recent changes that have negatively impacted their experience."
Linky AI: Chat, Play, Connect;"Features: Talk to AI characters, Chat with real-life users, Create and customize characters, Story generation, Notifications for reminders, Daily rewards, Roleplay capabilities, Image sharing

Notable Info: Users report issues with AI memory, Concerns about safety and potential predators, Frequent ads and monetization complaints, Bugs affecting character creation and conversations, Mixed feelings about the app's updates and performance, User demographic includes younger audiences

Summary: User sentiment is largely negative, with many expressing frustration over recent updates that have introduced bugs, increased ads, and safety concerns. While some users appreciate the creative aspects of the app, the overall experience is marred by memory issues with AI characters, problematic interactions, and a perceived decline in app quality."
