name,description,url,cleaned_desc
ai,"The AI Toolkit for TypeScript. From the creators of Next.js, the AI SDK is a free open-source library for building AI-powered applications and agents ",https://github.com/vercel/ai,AI Toolkit for TypeScript. From the creators of Next.
AI,Microsoft AI,https://github.com/microsoft/AI,Microsoft AI
gpt-crawler,Crawl a site to generate knowledge files to create your own custom GPT from a URL,https://github.com/BuilderIO/gpt-crawler,Crawl a site to generate knowledge files to create your own custom GPT from a URL
ai,This repository will have different projects using AutoGen and Tutorials,https://github.com/tylerprogramming/ai,This repository will have different projects using AutoGen and Tutorials
AirSim,"Open source simulator for autonomous vehicles built on Unreal Engine / Unity, from Microsoft AI & Research",https://github.com/microsoft/AirSim,Open source simulator for autonomous vehicles built on Unreal Engine
generative-ai-for-beginners,"21 Lessons, Get Started Building with Generative AI  🔗 https://microsoft.github.io/generative-ai-for-beginners/",https://github.com/microsoft/generative-ai-for-beginners,"Lessons, Get Started Building with Generative AI"
airflow,"Apache Airflow - A platform to programmatically author, schedule, and monitor workflows",https://github.com/apache/airflow,"Apache Airflow - A platform to programmatically author, schedule, and monitor workflows"
ailearning,AiLearning：数据分析+机器学习实战+线性代数+PyTorch+NLTK+TF2,https://github.com/apachecn/ailearning,Learning+++PyTorch+NLTK+TF
roop,one-click face swap,https://github.com/s0md3v/roop,one-click face swap
Jobs_Applier_AI_Agent_AIHawk,"Jobs_Applier_AI_Agent_AIHawk aims to easy job hunt process by automating the job application process. Utilizing artificial intelligence, it enables users to apply for multiple jobs in a tailored way.",https://github.com/feder-cr/Jobs_Applier_AI_Agent_AIHawk,"Jobs_Applier_AI_Agent_AIHawk aims to easy job hunt process by automating the job application process. Utilizing artificial intelligence, it enables users to apply for multiple jobs in a tailored way."
chatbot-ui,AI chat for any model.,https://github.com/mckaywrigley/chatbot-ui,chat for any model.
ai,💕 A bot for Misskey,https://github.com/syuilo/ai,bot for Misskey
courses,fast.ai Courses,https://github.com/fastai/courses,fast.ai Courses
ColossalAI,"Making large AI models cheaper, faster and more accessible",https://github.com/hpcaitech/ColossalAI,"Making large AI models cheaper, faster and more accessible"
CopilotKit,"React UI + elegant infrastructure for AI Copilots, AI chatbots, and in-app AI agents. The Agentic last-mile 🪁",https://github.com/CopilotKit/CopilotKit,"React UI + elegant infrastructure for AI Copilots, AI chatbots, and in-app AI agents."
vespa,"AI + Data, online. https://vespa.ai",https://github.com/vespa-engine/vespa,"+ Data, online."
airbyte,"The leading data integration platform for ETL / ELT data pipelines from APIs, databases & files to data warehouses, data lakes & data lakehouses. Both self-hosted and Cloud-hosted.",https://github.com/airbytehq/airbyte,"leading data integration platform for ETL ELT data pipelines from APIs, databases & files to data warehouses, data lakes & data lakehouses. Both self-hosted and Cloud-hosted."
gpt-pilot,The first real AI developer,https://github.com/Pythagora-io/gpt-pilot,first real AI developer
crewAI,"Framework for orchestrating role-playing, autonomous AI agents. By fostering collaborative intelligence, CrewAI empowers agents to work together seamlessly, tackling complex tasks.",https://github.com/crewAIInc/crewAI,"Framework for orchestrating role-playing, autonomous AI agents. By fostering collaborative intelligence, CrewAI empowers agents to work together seamlessly, tackling complex tasks."
mlcourse.ai,Open Machine Learning Course,https://github.com/Yorko/mlcourse.ai,Open Machine Learning Course
cursor,The AI Code Editor,https://github.com/getcursor/cursor,AI Code Editor
AISystem,AISystem 主要是指AI系统，包括AI芯片、AI编译器、AI推理和训练框架等AI全栈底层技术,https://github.com/chenzomi12/AISystem,System AIAIAIAIAI
AirBnB_clone,,https://github.com/justinmajetich/AirBnB_clone,
agentic,AI agent stdlib that works with any LLM and TypeScript AI SDK.,https://github.com/transitive-bullshit/agentic,agent stdlib that works with any LLM and TypeScript AI SDK.
aider,aider is AI pair programming in your terminal,https://github.com/Aider-AI/aider,der is AI pair programming in your terminal
AI-For-Beginners,"12 Weeks, 24 Lessons, AI for All!",https://github.com/microsoft/AI-For-Beginners,"Weeks, 24 Lessons, AI for All!"
gpt-ai-assistant,OpenAI + LINE + Vercel = GPT AI Assistant,https://github.com/memochou1993/gpt-ai-assistant,OpenAI + LINE + Vercel
browser-use,Make websites accessible for AI agents,https://github.com/browser-use/browser-use,Make websites accessible for AI agents
generative-models,Generative Models by Stability AI,https://github.com/Stability-AI/generative-models,Generative Models by Stability AI
ai-chatbot,"A full-featured, hackable Next.js AI chatbot built by Vercel",https://github.com/vercel/ai-chatbot,"full-featured, hackable Next."
cheatsheets-ai,Essential Cheat Sheets for deep learning and machine learning researchers https://medium.com/@kailashahirwar/essential-cheat-sheets-for-machine-learning-and-deep-learning-researchers-efb6a8ebd2e5,https://github.com/kailashahirwar/cheatsheets-ai,Essential Cheat Sheets for deep learning and machine learning researchers
ai,,https://github.com/iceener/ai,
open-webui,"User-friendly AI Interface (Supports Ollama, OpenAI API, ...)",https://github.com/open-webui/open-webui,"User-friendly AI Interface (Supports Ollama, OpenAI API,."
LocalAI,":robot: The free, Open Source alternative to OpenAI, Claude and others. Self-hosted and local-first. Drop-in replacement for OpenAI,  running on consumer-grade hardware. No GPU required. Runs gguf, transformers, diffusers and many more models architectures. Features: Generate Text, Audio, Video, Images, Voice Cloning, Distributed, P2P inference",https://github.com/mudler/LocalAI,"free, Open Source alternative to OpenAI, Claude and others. Self-hosted and local-first. Drop-in replacement for OpenAI, running on consumer-grade hardware. No GPU required. Runs gguf, transformers, diffusers and many more models architectures."
susi.ai,SUSI.AI Web Client https://susi.ai,https://github.com/fossasia/susi.ai,SUSI.
ai-hedge-fund,An AI Hedge Fund Team,https://github.com/virattt/ai-hedge-fund,An AI Hedge Fund Team
AI4Animation,Bringing Characters to Life with Computer Brains in Unity,https://github.com/sebastianstarke/AI4Animation,Bringing Characters to Life with Computer Brains in Unity
google-research,Google Research,https://github.com/google-research/google-research,Google Research
InvokeAI,"Invoke is a leading creative engine for Stable Diffusion models, empowering professionals, artists, and enthusiasts to generate and create visual media using the latest AI-driven technologies. The solution offers an industry leading WebUI, and serves as the foundation for multiple commercial products.",https://github.com/invoke-ai/InvokeAI,"Invoke is a leading creative engine for Stable Diffusion models, empowering professionals, artists, and enthusiasts to generate and create visual media using the latest AI-driven technologies. The solution offers an industry leading WebUI, and serves as the foundation for multiple commercial products."
ai-edu,"AI education materials for Chinese students, teachers and IT professionals.",https://github.com/microsoft/ai-edu,"education materials for Chinese students, teachers and IT professionals."
GURU-Ai,SIMPLE YET COMPLICATED 🚩,https://github.com/Guru322/GURU-Ai,SIMPLE YET COMPLICATED
higress,🤖 AI Gateway | AI Native API Gateway,https://github.com/alibaba/higress,Native API Gateway
deeplearning_ai_books,deeplearning.ai（吴恩达老师的深度学习课程笔记及资源）,https://github.com/fengdu78/deeplearning_ai_books,deeplearning.ai
aiohttp,Asynchronous HTTP client/server framework for asyncio and Python,https://github.com/aio-libs/aiohttp,Asynchronous HTTP client
ai-shell,A CLI that converts natural language to shell commands.,https://github.com/BuilderIO/ai-shell,CLI that converts natural language to shell commands.
generative-ai,"Sample code and notebooks for Generative AI on Google Cloud, with Gemini on Vertex AI",https://github.com/GoogleCloudPlatform/generative-ai,"Sample code and notebooks for Generative AI on Google Cloud, with Gemini on Vertex AI"
AirBnB_clone_v2,,https://github.com/alexaorrico/AirBnB_clone_v2,
aima-python,"Python implementation of algorithms from Russell And Norvig's ""Artificial Intelligence - A Modern Approach""",https://github.com/aimacode/aima-python,Python implementation of algorithms from Russell And Norvig
Ai-Learn,"人工智能学习路线图，整理近200个实战案例与项目，免费提供配套教材，零基础入门，就业实战！包括：Python，数学，机器学习，数据分析，深度学习，计算机视觉，自然语言处理，PyTorch tensorflow machine-learning,deep-learning data-analysis data-mining mathematics data-science artificial-intelligence python tensorflow tensorflow2 caffe keras pytorch algorithm numpy pandas matplotlib seaborn nlp cv等热门领域",https://github.com/tangyudi/Ai-Learn,"PythonPyTorch tensorflow machine-learning,deep-learning data-analysis data-mining mathematics data-science artificial-intelligence python tensorflow tensorflow"
AI-102-AIEngineer,Lab files for AI-102 - AI Engineer,https://github.com/MicrosoftLearning/AI-102-AIEngineer,Lab files for AI-102 - AI Engineer
tabby,Self-hosted AI coding assistant,https://github.com/TabbyML/tabby,Self-hosted AI coding assistant
Scrapegraph-ai,Python scraper based on AI,https://github.com/ScrapeGraphAI/Scrapegraph-ai,Python scraper based on AI
pandas-ai,"Chat with your database or your datalake (SQL, CSV, parquet). PandasAI makes data analysis conversational using LLMs and RAG.",https://github.com/sinaptik-ai/pandas-ai,"Chat with your database or your datalake (SQL, CSV, parquet). PandasAI makes data analysis conversational using LLMs and RAG."
agent-zero,Agent Zero AI framework,https://github.com/frdel/agent-zero,Agent Zero AI framework
AIF360,"A comprehensive set of fairness metrics for datasets and machine learning models, explanations for these metrics, and algorithms to mitigate bias in datasets and models.",https://github.com/Trusted-AI/AIF360,"comprehensive set of fairness metrics for datasets and machine learning models, explanations for these metrics, and algorithms to mitigate bias in datasets and models."
mem0,The Memory layer for AI Agents,https://github.com/mem0ai/mem0,Memory layer for AI Agents
